                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.64187,                0.57697,                 1.1912,                      1,                 0.9801,                  0.995,                0.90778,                0.48213,                0.60381,                0.94578,               0.067287,              0.0022873,              0.0022873
                     36,                0.66446,                0.57662,                 1.0459,                      1,                 0.9801,                  0.995,                0.90778,                0.48213,                0.60381,                0.94578,               0.066317,               0.002317,               0.002317
                     37,                0.49261,                0.55314,                 1.0239,                 0.9772,                      1,                  0.995,                0.88495,                0.50298,                0.62427,                0.95114,               0.065345,              0.0023447,              0.0023447
                     38,                0.55951,                0.53253,                 1.0593,                 0.9772,                      1,                  0.995,                0.88495,                0.50298,                0.62427,                0.95114,                0.06437,              0.0023704,              0.0023704
                     39,                0.65177,                0.53404,                0.96818,                 0.9772,                      1,                  0.995,                0.88495,                0.50298,                0.62427,                0.95114,               0.063394,              0.0023942,              0.0023942
                     40,                0.50012,                0.43676,                0.98077,                 0.9772,                      1,                  0.995,                0.88495,                0.50298,                0.62427,                0.95114,               0.062416,               0.002416,               0.002416
                     41,                 0.4902,                0.74015,                 1.0997,                0.96905,                      1,                  0.995,                0.86419,                0.52882,                0.52259,                0.95816,               0.061436,              0.0024358,              0.0024358
                     42,                0.66199,                0.60499,                 1.1163,                0.96905,                      1,                  0.995,                0.86419,                0.52882,                0.52259,                0.95816,               0.060454,              0.0024536,              0.0024536
                     43,                0.44866,                0.67573,                 1.1219,                0.96905,                      1,                  0.995,                0.86419,                0.52882,                0.52259,                0.95816,               0.059469,              0.0024695,              0.0024695
                     44,                0.65848,                0.47016,                 1.0398,                0.96905,                      1,                  0.995,                0.86419,                0.52882,                0.52259,                0.95816,               0.058483,              0.0024834,              0.0024834
                     45,                 0.8767,                0.60711,                 1.2252,                0.97695,                      1,                  0.995,                0.90779,                0.52202,                0.57544,                0.95575,               0.057495,              0.0024953,              0.0024953
                     46,                0.59694,                0.73486,                 1.2325,                0.97695,                      1,                  0.995,                0.90779,                0.52202,                0.57544,                0.95575,               0.056505,              0.0025052,              0.0025052
                     47,                0.84269,                0.64766,                  1.152,                0.97695,                      1,                  0.995,                0.90779,                0.52202,                0.57544,                0.95575,               0.055513,              0.0025131,              0.0025131
                     48,                 0.6554,                0.52987,                 1.0035,                0.97695,                      1,                  0.995,                0.90779,                0.52202,                0.57544,                0.95575,               0.054519,               0.002519,               0.002519
                     49,                0.59864,                0.56849,                 1.0858,                0.79928,                0.99639,                  0.895,                 0.8055,                0.46276,                0.84888,                0.94111,               0.053523,               0.002523,               0.002523
                     50,                0.47307,                0.91607,                0.97263,                0.79928,                0.99639,                  0.895,                 0.8055,                0.46276,                0.84888,                0.94111,               0.052525,               0.002525,               0.002525
                     51,                 0.5954,                0.71913,                0.96065,                0.79928,                0.99639,                  0.895,                 0.8055,                0.46276,                0.84888,                0.94111,               0.051525,               0.002525,               0.002525
                     52,                0.69101,                0.79399,                  1.157,                0.79928,                0.99639,                  0.895,                 0.8055,                0.46276,                0.84888,                0.94111,               0.050523,               0.002523,               0.002523
                     53,                0.61718,                0.73606,                 1.0503,                0.79928,                0.99639,                  0.895,                 0.8055,                0.46276,                0.84888,                0.94111,               0.049519,              0.0025191,              0.0025191
                     54,                0.60729,                0.58233,                 1.0436,                0.79192,                      1,                  0.945,                0.90007,                0.47599,                 0.5304,                0.94679,               0.048513,              0.0025132,              0.0025132
                     55,                0.59324,                0.57082,                0.99035,                0.79192,                      1,                  0.945,                0.90007,                0.47599,                 0.5304,                0.94679,               0.047505,              0.0025053,              0.0025053
                     56,                0.55137,                0.48184,                 1.0746,                0.79192,                      1,                  0.945,                0.90007,                0.47599,                 0.5304,                0.94679,               0.046495,              0.0024954,              0.0024954
                     57,                0.49528,                0.47116,                 1.0759,                0.79192,                      1,                  0.945,                0.90007,                0.47599,                 0.5304,                0.94679,               0.045483,              0.0024835,              0.0024835
                     58,                0.49298,                0.42679,                 1.1035,                0.79192,                      1,                  0.945,                0.90007,                0.47599,                 0.5304,                0.94679,                0.04447,              0.0024696,              0.0024696
